benchmark,jobs,infra,initial_divides,online_divides,initial_timeout,timeout_factor,timeout,future_mode,trial,painless_mode,duration,result,family,start_time,end_time,hostname
eq.atree.braun.12,16,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,271.0944788455963,UNSAT,cnc,1613166633.8526444,1613166904.9543514,vsl048
total-10-17-u,8,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,383.386887550354,UNSAT,cnc,1613166608.5684927,1613166991.9620447,vsl056
eq.atree.braun.12,8,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,449.6688566207886,UNSAT,cnc,1613166608.4524257,1613167058.1265285,vsl084
total-10-17-u,4,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,504.7714807987213,UNSAT,cnc,1613166569.8675606,1613167074.6433868,vsl084
dated-5-19-u,16,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,495.99886298179626,UNSAT,cnc,1613166633.7234948,1613167129.7309294,vsl056
eq.atree.braun.12,4,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,760.9227023124695,UNSAT,cnc,1613166569.6889434,1613167330.6175427,vsl083
dated-5-19-u,8,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,831.6807379722595,UNSAT,cnc,1613166608.438742,1613167440.1244857,vsl084
total-10-17-u,16,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,486.95723366737366,UNSAT,cnc,1613167075.3380508,1613167562.2997704,vsl084
eq.atree.braun.13,16,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,1343.9294476509094,UNSAT,cnc,1613166633.8527737,1613167977.7890325,vsl048
dated-5-19-u,32,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,375.1745505332947,UNSAT,cnc,1613167978.4680605,1613168353.6468487,vsl060
dated-5-19-u,4,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,1831.7673773765564,UNSAT,cnc,1613166569.6914144,1613168401.4639177,vsl083
eq.atree.braun.12,32,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,222.05792689323425,UNSAT,cnc,1613168354.2985232,1613168576.3603482,vsl060
eq.atree.braun.13,8,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,2091.5971047878265,UNSAT,cnc,1613166608.4925861,1613168700.095366,vsl084
eq.atree.braun.13,32,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,891.2890274524689,UNSAT,cnc,1613168402.2604334,1613169293.5548158,vsl067
total-5-15-u,16,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,3342.529116868973,UNSAT,cnc,1613167130.4166021,1613170472.950089,vsl056
eq.atree.braun.12,64,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,170.31077980995178,UNSAT,cnc,1613170319.1581223,1613170489.4742975,vsl064
total-10-17-u,32,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,353.47366428375244,UNSAT,cnc,1613170283.6141393,1613170637.0949323,vsl042
dated-5-19-u,64,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,435.91079807281494,UNSAT,cnc,1613170319.3114498,1613170755.2277007,vsl038
eq.atree.braun.13,64,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,826.3054337501526,UNSAT,cnc,1613170319.517139,1613171145.8278942,vsl006
total-10-17-u,64,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,388.2648708820343,UNSAT,cnc,1613170762.9114459,1613171151.181299,vsl014
total-5-15-u,32,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,1871.094882965088,UNSAT,cnc,1613170283.6139586,1613172154.7156367,vsl042
total-5-15-u,64,cnc-lingeling,8,2,5.0,1.5,3600,False,0,default,1440.012892484665,UNSAT,cnc,1613171146.6115134,1613172586.6295443,vsl073
